distance,enemyBulletPower,myAdvancingVelocity,myLateralAcceleration,myLateralVelocity,type,guessFactor
393.49,3.00,2.83,0.23,7.48,MISS,0.79
300.82,3.00,0.07,0.10,7.10,BULLETHITBULLET,0.04
394.05,3.00,2.66,0.00,7.55,MISS,0.48
250.79,3.00,0.54,0.84,0.84,MISS,0.94
379.24,3.00,2.55,-0.00,7.58,MISS,0.95
423.05,3.00,2.54,-0.00,7.58,MISS,0.88
481.18,3.00,0.22,-0.00,8.00,MISS,0.91
513.83,3.00,0.59,-0.00,7.98,MISS,0.76
466.68,3.00,2.37,-0.00,7.64,MISS,0.71
539.20,3.00,1.06,0.98,4.89,MISS,0.77
518.57,3.00,-2.47,0.91,5.47,MISS,0.85
465.84,3.00,-4.32,-0.00,6.74,MISS,0.84
418.15,3.00,-4.36,-0.00,6.71,MISS,0.84
425.76,3.00,-0.52,-0.00,7.98,MISS,0.80
504.41,3.00,2.35,-0.00,7.65,MISS,0.72
595.31,3.00,-1.44,-0.00,7.87,BULLETHITBULLET,-0.07
551.96,3.00,-1.93,-0.00,7.76,MISS,0.85
611.35,3.00,-0.04,-0.00,8.00,BULLETHITBULLET,-0.06
622.07,3.00,1.42,-0.00,7.87,MISS,0.42
583.71,3.00,-5.44,-0.00,5.87,MISS,0.31
546.02,3.00,-6.44,-0.00,4.75,MISS,0.54
524.26,3.00,-4.91,0.79,6.32,MISS,0.83
430.88,3.00,-4.95,-0.00,6.29,MISS,0.84
377.13,3.00,-2.31,-0.00,7.66,MISS,0.87
455.58,3.00,2.10,-0.00,7.72,MISS,0.40
359.29,3.00,2.62,-0.00,7.56,MISS,1.00
314.70,3.00,2.92,-0.00,7.45,MISS,0.99
315.24,3.00,3.38,-0.00,7.25,MISS,0.91
432.73,3.00,2.71,-0.00,7.53,MISS,0.74
510.51,3.00,0.72,-1.97,3.93,MISS,0.56
581.94,3.00,-0.64,-0.00,7.97,MISS,0.58
576.84,3.00,-5.25,-0.00,6.04,MISS,0.66
465.42,3.00,-5.48,-0.00,5.83,MISS,0.68
354.68,3.00,-5.54,-0.00,5.77,MISS,0.80
352.59,3.00,-1.11,-0.00,7.92,MISS,0.87
434.08,3.00,2.48,-0.00,7.61,MISS,0.72
412.56,3.00,-4.07,-0.00,6.89,MISS,0.74
279.38,3.00,-2.99,-1.73,5.20,MISS,0.87
307.34,3.00,1.18,-0.00,7.91,MISS,0.94
361.46,3.00,2.22,-0.00,7.69,MISS,0.82
292.10,3.00,-5.25,0.75,6.04,MISS,0.69
249.67,3.00,-1.75,-0.00,7.81,MISS,1.06
263.17,3.00,2.23,-0.00,7.68,MISS,1.06
360.36,3.00,2.85,-0.00,7.48,MISS,1.04
331.15,3.00,2.95,-0.00,7.44,MISS,1.03
433.11,3.00,2.30,-0.00,7.66,MISS,0.91
484.42,3.00,2.33,-0.00,7.65,MISS,0.74
577.72,3.00,1.92,-0.00,7.77,MISS,0.60
574.57,3.00,-3.76,-0.00,7.06,MISS,0.47
513.29,3.00,-6.11,0.49,3.42,MISS,0.23
404.61,3.00,-5.76,0.28,1.66,HIT,0.08
343.90,3.00,1.16,-1.95,4.86,MISS,0.94
451.22,3.00,1.67,0.00,7.82,MISS,0.79
538.90,3.00,1.92,0.96,6.73,MISS,0.80
606.21,3.00,-1.22,0.00,7.91,MISS,0.83
599.24,3.00,-0.71,0.00,7.97,MISS,0.69
607.30,3.00,1.45,-1.94,5.82,MISS,0.62
647.26,3.00,0.26,-2.00,5.99,MISS,0.59
568.06,3.00,-6.14,0.00,5.13,MISS,0.47
451.43,3.00,-6.88,0.51,4.07,MISS,0.42
393.27,3.00,-3.57,0.80,4.83,MISS,0.76
344.75,3.00,-2.97,0.00,7.43,BULLETHITBULLET,0.06
356.12,3.00,1.07,-1.97,5.90,MISS,0.81
468.84,3.00,0.40,0.00,7.99,MISS,0.80
509.97,3.00,-2.21,0.00,7.69,MISS,0.90
565.47,3.00,0.64,0.00,7.97,MISS,0.75
677.17,3.00,1.66,0.00,7.83,MISS,0.62
662.67,3.00,-1.95,0.97,7.76,MISS,0.49
552.66,3.00,-6.26,0.45,3.14,MISS,0.35
459.91,3.00,-6.24,0.00,5.01,MISS,0.53
453.94,3.00,-3.41,0.87,6.11,MISS,0.81
459.13,3.00,0.10,-2.00,4.00,MISS,0.76
539.13,3.00,2.20,0.00,7.69,MISS,0.74
618.29,3.00,-1.42,0.00,7.87,MISS,0.83
616.35,3.00,-1.42,0.00,7.87,MISS,0.78
614.77,3.00,-0.06,0.00,8.00,MISS,0.60
629.63,0.20,-3.08,-1.72,5.15,MISS,0.48
645.22,3.00,1.06,-1.97,5.90,MISS,0.47
578.78,0.20,-6.82,0.00,4.18,MISS,0.44
518.85,0.20,-6.00,0.00,5.29,BULLETHITBULLET,0.07
507.85,0.20,-3.50,0.81,4.87,MISS,0.88
471.33,0.20,-3.24,0.00,7.31,MISS,1.03
458.44,0.20,-0.40,0.00,7.99,BULLETHITBULLET,0.07
487.69,0.20,1.86,0.00,7.78,MISS,1.00
531.76,0.20,2.23,0.00,7.68,MISS,0.93
595.54,0.20,-0.04,0.00,8.00,MISS,0.77
637.96,0.20,-2.26,0.00,7.68,MISS,0.39
288.12,3.00,3.17,-0.00,7.35,MISS,0.97
273.19,3.00,3.36,-0.00,7.26,MISS,0.92
270.31,3.00,1.00,-0.00,7.94,MISS,0.58
275.65,3.00,-4.35,-1.38,4.13,MISS,-0.75
306.96,3.00,3.00,0.00,7.42,MISS,1.04
366.80,3.00,2.86,0.00,7.47,MISS,1.01
395.83,3.00,2.34,0.00,7.65,MISS,0.82
395.76,3.00,2.46,0.00,7.61,MISS,0.63
431.25,3.00,1.04,-0.04,7.32,MISS,0.45
480.92,3.00,-0.78,0.90,2.83,MISS,0.66
414.15,3.00,-4.73,0.00,6.45,MISS,0.88
329.36,3.00,-4.79,0.00,6.41,MISS,0.88
268.14,3.00,-1.28,0.00,7.90,MISS,1.02
379.09,3.00,3.02,0.00,7.41,MISS,0.90
417.65,3.00,1.15,0.00,7.92,MISS,0.90
345.00,3.00,-3.31,0.00,7.28,MISS,0.88
357.41,3.00,0.38,0.00,7.99,MISS,0.87
310.61,3.00,1.08,0.99,7.93,MISS,0.68
334.78,3.00,-1.43,0.00,7.87,MISS,0.58
324.63,3.00,-4.70,0.00,6.48,MISS,0.79
257.53,3.00,-3.52,0.00,7.18,MISS,0.96
294.60,3.00,3.50,0.00,7.19,BULLETHITBULLET,-0.08
348.30,3.00,2.64,0.00,7.55,MISS,1.01
376.66,3.00,3.02,0.00,7.41,MISS,1.02
461.54,3.00,2.27,0.00,7.67,MISS,0.89
443.15,0.20,2.65,0.00,7.55,MISS,0.84
425.78,3.00,2.21,0.00,7.69,MISS,0.76
491.14,0.20,-0.54,0.00,7.98,MISS,0.73
451.78,0.20,-4.74,0.74,5.15,MISS,0.68
372.56,0.20,-6.53,0.00,4.62,MISS,0.68
298.54,0.20,-5.95,0.00,5.35,BULLETHITBULLET,-0.15
262.25,0.20,-2.75,0.00,7.51,MISS,1.05
341.48,3.00,2.72,0.00,7.52,BULLETHITBULLET,0.08
399.02,3.00,2.88,0.00,7.46,MISS,0.81
492.35,3.00,2.00,0.00,7.74,MISS,0.26
493.87,3.00,-3.32,0.00,7.28,MISS,-0.37
463.58,3.00,-3.12,-1.44,3.25,MISS,-0.79
514.94,3.00,1.08,-1.93,3.85,MISS,0.84
507.15,3.00,-1.16,-0.00,7.92,MISS,0.89
572.18,3.00,1.16,-0.00,7.91,MISS,0.70
686.83,3.00,1.55,-0.00,7.85,MISS,0.57
685.09,3.00,-1.94,0.96,6.72,BULLETHITBULLET,-0.06
617.99,3.00,-2.47,0.79,3.15,MISS,0.70
552.97,3.00,-2.98,-1.74,5.21,MISS,0.80
485.28,3.00,-1.40,-0.00,7.88,MISS,0.84
493.37,3.00,1.65,-0.00,7.83,BULLETHITBULLET,-0.07
552.94,3.00,2.15,0.96,7.71,MISS,0.80
623.68,3.00,-1.09,0.99,6.92,MISS,0.84
648.41,3.00,-0.32,-0.00,7.99,MISS,0.71
688.82,3.00,1.13,-0.00,7.92,MISS,0.56
