distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
295.80,1.99,0.00,0.72,0.00,0.74,-0.00,27.00,MISS,-1.00
361.78,1.99,2.87,0.58,-0.60,0.70,7.47,42.00,MISS,0.96
423.53,1.99,-2.44,0.65,0.00,0.86,7.62,11.00,HIT,0.90
448.74,1.99,0.44,0.65,0.51,0.67,7.99,25.00,MISS,0.00
460.79,1.99,-1.49,0.55,0.04,0.92,7.86,14.00,MISS,-0.99
457.92,1.99,-3.75,0.67,-0.30,0.67,7.07,11.00,MISS,0.16
419.10,1.99,1.31,0.52,0.19,0.94,7.89,11.00,MISS,-0.96
400.80,1.99,-3.88,0.63,-0.27,0.75,6.99,10.00,MISS,0.22
378.80,1.99,-1.96,0.74,0.19,0.75,3.48,4.00,MISS,0.99
364.71,1.99,-1.18,0.61,0.68,0.91,7.91,20.00,MISS,-0.29
389.03,1.71,0.70,0.68,0.19,0.93,5.96,6.00,MISS,-0.01
432.74,1.68,-1.50,0.76,0.35,0.86,3.71,4.00,HIT,0.89
409.55,1.55,-1.23,0.61,0.62,0.92,7.90,21.00,MISS,-0.14
442.65,1.71,-0.43,0.77,0.34,0.89,2.97,3.00,MISS,0.06
451.71,1.71,0.32,0.74,0.43,0.91,3.99,0.00,MISS,-1.00
470.18,1.71,-1.45,0.66,0.14,0.90,7.87,12.00,MISS,0.41
474.95,1.71,0.02,0.68,-0.91,0.72,8.00,26.00,MISS,-0.70
496.21,1.71,-1.76,0.61,0.50,0.92,6.78,7.00,MISS,0.23
552.56,0.60,3.03,0.61,-0.81,0.85,7.40,20.00,MISS,-0.45
557.20,0.57,-1.49,0.63,0.57,0.90,4.77,5.00,MISS,0.15
541.37,0.55,-0.23,0.65,-0.33,0.95,8.00,9.00,MISS,-0.92
557.20,0.53,1.16,0.64,0.26,0.82,7.92,9.00,BULLETHITBULLET,-0.04
594.64,0.51,0.15,0.60,-0.74,0.75,8.00,21.00,MISS,-0.67
584.38,0.52,-1.33,0.54,0.55,0.89,4.82,5.00,MISS,0.25
550.76,0.20,-1.17,0.61,-0.44,0.96,7.91,17.00,MISS,-0.76
557.52,0.20,0.84,0.73,0.50,0.87,3.91,4.00,MISS,0.49
552.88,0.20,-0.23,0.65,-0.39,0.75,8.00,15.00,MISS,-0.38
506.96,0.19,0.45,0.48,0.64,0.92,2.97,3.00,MISS,0.31
516.19,0.19,2.01,0.56,-0.18,0.94,7.74,14.00,MISS,-0.73
525.85,0.18,0.31,0.76,0.51,0.76,3.99,4.00,MISS,0.54
521.23,0.19,-2.38,0.62,-0.50,0.57,7.64,16.00,HIT,-0.72
519.46,0.19,0.38,0.45,0.63,0.93,4.99,5.00,MISS,0.92
531.21,0.18,0.01,0.53,-0.42,0.96,8.00,9.00,MISS,0.42
534.96,0.10,1.59,0.64,0.73,0.96,7.84,7.00,MISS,0.25
551.88,0.10,1.67,0.73,0.09,0.92,3.08,3.00,BULLETHITBULLET,0.45
561.39,0.10,-0.00,0.81,0.28,0.83,-0.00,0.00,MISS,-0.06
541.06,0.10,0.26,0.74,0.40,0.94,4.99,0.00,MISS,-0.73
530.72,0.10,0.13,0.73,0.19,0.91,4.00,4.00,MISS,1.00
531.98,0.10,1.70,0.65,-0.54,0.97,7.82,17.00,MISS,0.42
550.12,0.10,-0.23,0.73,0.49,0.91,3.99,4.00,BULLETHITBULLET,0.25
546.86,0.10,-0.28,0.71,0.12,0.87,5.49,5.00,MISS,0.08
548.32,0.11,-0.19,0.62,0.19,0.94,8.00,10.00,MISS,0.48
550.42,0.17,0.38,0.65,-0.70,0.96,7.99,8.00,MISS,0.32
550.82,0.27,0.25,0.79,0.53,0.88,1.98,2.00,MISS,-0.69
